school_code,category,state,lga,school_name,town,location,school_level,year,set_name,ward,prefix,state_clean,lga_clean,ward_clean,match_type
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010155,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOLOLE-UKPO,AGILA,RURAL,PRIMARY ONLY,1975,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010157,PRIVATE,BENUE,ADO,PEACE METHODIST NURSERY AND PRIMARY SCHOOLADO,APA,RURAL,PRIMARY,2012,,,PVT,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010158,PRIVATE,BENUE,ADO,DIVINE NURSERY AND PRIMARY SCHOOL APA- AGILA,APA- AGILA,RURAL,PRIMARY,2016,,,PVT,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010162,PUBLIC,BENUE,ADO,CITY INTERNATIONAL NURSERY AND PIMARY SCHOOL,UTONKO,RURAL,PRIMARY,2011,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010163,PRIVATE,BENUE,ADO,NKST NURSRY AND PRIMARY SCHOOL,"LOW LEVEL, MAKURDI",URBAN,PRIMARY,2020,,,PVT,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010164,PUBLIC,BENUE,ADO,LGEA UKWONYO WESLEY UTONKO,UTINKO,RURAL,PRIMARY ONLY,1827,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010183,PRIVATE,BENUE,ADO,HOPE ACADEMY NURSERY AND PRIMARY SCHOOL BURUKU,SAAKURA,RURAL,PRIMARY ONLY,2020,,,PVT,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7030005,PUBLIC,BENUE,APA,APS PRIMARY SCHOOL AJIBE OJIJI,AJIBE OJIJI,RURAL,PRIMARY ONLY,1994,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030006,PUBLIC,BENUE,APA,APS PRIMARY SCHOOL IGA OKPAYA,IGAH-OKPAYA,URBAN,PRIMARY ONLY,2001,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030007,PUBLIC,BENUE,APA,APS PRIMARY SCHOOL OJINAGWU CAMP,OJINAGWU CAMP,RURAL,PRIMARY ONLY,1992,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030008,PUBLIC,BENUE,APA,APS PRIMARY SCHOOL OLADOGA,EDIKWU-OLADOGA,RURAL,PRIMARY ONLY,1994,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030010,PUBLIC,BENUE,APA,APS PRIMARY SCHOOL OSHODI OIJI,OSHODI OIJI,RURAL,PRIMARY ONLY,1994,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030012,PUBLIC,BENUE,APA,BPS PRIMARY SCHOOL IGA OKPAYA,IGAH-OKPAYA,URBAN,PRIMARY ONLY,1966,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030014,PRIVATE,BENUE,APA,CEFN NURSERY AND PRIMARY SCHOOL,IBADO,RURAL,PRIMARY,1995,,,PVT,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030014,PRIVATE,BENUE,APA,CEFN NURSERY AND PRIMARY SCHOOL,IBADO,RURAL,PRIMARY,1995,,,PVT,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unknown_fallback
7030021,PRIVATE,BENUE,APA,EMAIKWU NURSERYPRIMARY SCHOOL,OFOKE-  OJOPE,RURAL,ECCDE ONLY,1992,,,PVT,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030027,PRIVATE,BENUE,APA,GODS WILL NURSERY AND PRIMARY SCHOOL,OFOKE-OJOPE,RURAL,PRIMARY,2014,,,PVT,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030027,PRIVATE,BENUE,APA,GODS WILL NURSERY AND PRIMARY SCHOOL,OFOKE-OJOPE,RURAL,PRIMARY,2014,,,PVT,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unknown_fallback
7030027,PRIVATE,BENUE,APA,GODS WILL NURSERY AND PRIMARY SCHOOL,OFOKE-OJOPE,RURAL,PRIMARY,2014,,,PVT,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unknown_fallback
7030036,PUBLIC,BENUE,APA,IPS PRIMARY SCHOOL OFOKE,OFOKE-OJOPE,RURAL,PRIMARY ONLY,1994,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030037,PUBLIC,BENUE,APA,IPS PRIMARY SCHOOL UGBOKPO,UGBOKPO-IPIGWU,RURAL,PRIMARY ONLY,1993,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030039,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL OLUFIENE AJOPE,OLUFIENE,RURAL,PRIMARY ONLY,1990,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030040,PUBLIC,BENUE,APA,LGEA AIJA AUKE,AIJA- AUKE,RURAL,PRIMARY ONLY,1999,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030043,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL AJIBE AHAJE,AJIBE AHAJE,RURAL,PRIMARY ONLY,1996,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030045,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL AGWA EDIKWU,ANGWA-EDIKWU,URBAN,PRIMARY ONLY,1992,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030048,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL AKPOLOKO,AKPOLOKO-AUKE,RURAL,PRIMARY ONLY,2003,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030049,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL ALAJA,ALAJA,RURAL,PRIMARY ONLY,1996,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030050,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL ASABA,OCHICHI-AJI,RURAL,PRIMARY ONLY,1979,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030051,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL BININ,BENIN-OCHUMEKWU,URBAN,PRIMARY ONLY,2003,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030052,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL EFU OIJI-OCHEKWU,OIJI-OCHEKWU,RURAL,PRIMARY ONLY,1990,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030053,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL IBADO AUKE,IBADO-AUKE,RURAL,PRIMARY ONLY,1996,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030054,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL IGA OKPAYA,IGAH-OKPAYA,URBAN,PRIMARY ONLY,1953,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030055,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL IJAHA IBELE,IJAHA-IBELE,RURAL,PRIMARY ONLY,1991,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030056,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL IJAHA IKOBI,IJAHA  IKOBI,RURAL,PRIMARY ONLY,1992,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030057,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL IMANA IKOBI,IMANA  IKOBI,RURAL,PRIMARY ONLY,1976,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030059,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL JOS OIJI,JOS OIJI,RURAL,PRIMARY ONLY,1992,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030061,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL OBINDA,OBINDA,RURAL,PRIMARY ONLY,1974,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030062,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL OCHEKELE,OCHEKELE,RURAL,PRIMARY ONLY,1985,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030063,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL OCHICHI AJI,OCHICHI- AJI,RURAL,PRIMARY ONLY,1970,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030065,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL OFOKE,OFOKE-OJOPE,RURAL,PRIMARY ONLY,1999,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030066,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL OGEDE AUKE,OGEDE-AUKE,RURAL,PRIMARY ONLY,1985,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030069,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL OKPAKACHI,OKPAKACHI,RURAL,PRIMARY ONLY,1992,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030071,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL OLIJAMU,OLIJAMU EDIKWU,RURAL,PRIMARY ONLY,1994,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030074,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL OLOCHEKWU,OLOCHEKWU-AUKE,RURAL,PRIMARY ONLY,1996,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030075,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL OLOJO OKWUJIYA,OLOJO-KWUJIYA,RURAL,PRIMARY ONLY,1974,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030076,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL OMELEMU,OMELEMU,RURAL,PRIMARY ONLY,1980,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030078,PUBLIC,BENUE,APA,LGEA PRIMARY SCHOOL UGBENEGWU,UGBENEGWU-OJUWO,RURAL,PRIMARY ONLY,1994,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030080,PUBLIC,BENUE,APA,LGEAPRIMARY SCHOOL OLOKE IKOBI III,OLOKE-IKOBI III,RURAL,PRIMARY ONLY,1976,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030081,PRIVATE,BENUE,APA,MERCY OF GOD NURSERY AND PRIMARY SCHOOL,OLADOGA EDIKWU,RURAL,PRIMARY,2004,,,PVT,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030087,PRIVATE,BENUE,APA,METHODIST CATHEDERAL NURSERY AND PRIMARY SCHOOL IGA-OKPAYA,IGA - OKPAYA,RURAL,PRIMARY,2015,,,PVT,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030088,PUBLIC,BENUE,APA,METHODIST PRIMARY SCHOOL ANKPALI EDIKWU,ANKPALI EDIKWU,RURAL,PRIMARY ONLY,1981,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030093,PUBLIC,BENUE,APA,MPS PRIMARY SCHOOL ATAGANYI,ATAGANYI,RURAL,PRIMARY ONLY,1964,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030094,PUBLIC,BENUE,APA,MPS PRIMARY SCHOOL EBUGODO,EBUGODO-EDIKWU,RURAL,PRIMARY ONLY,1946,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030095,PUBLIC,BENUE,APA,MPS PRIMARY SCHOOL EDIKWU ICHO,EDIKWU-ICHO,RURAL,PRIMARY ONLY,1954,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030096,PUBLIC,BENUE,APA,MPS PRIMARY SCHOOL IGA-OKPAYA,IGAH-OKPAYA,URBAN,PRIMARY,1938,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030097,PUBLIC,BENUE,APA,MPS PRIMARY SCHOOL IGORO,IGORO,RURAL,PRIMARY ONLY,1952,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030098,PUBLIC,BENUE,APA,MPS PRIMARY SCHOOL IKADUNA,IKADUNA,RURAL,PRIMARY ONLY,1963,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030099,PUBLIC,BENUE,APA,MPS PRIMARY SCHOOL IKAMPO,ANGWA  IKAMPO,RURAL,PRIMARY ONLY,1976,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030101,PUBLIC,BENUE,APA,MPS PRIMARY SCHOOL OFOKE,OFOKE- OJOPE,RURAL,PRIMARY ONLY,1948,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
7030105,PUBLIC,BENUE,APA,MPS PRIMARY SCHOOL OKWIJI,OKWIJI- EDIKWU,RURAL,PRIMARY ONLY,1970,,,PRY,BE BENUE,OY IBARAPA CENTRAL LOCAL GOVERNMENT AREA,,unmatched
